,ix_bitrate,youtube_viewchange,youtube_views,steam_users,steam_ingame,twitch_views,twitch_channels,twitch_viewtime,twitch_streams,ps_users,stock_med,stock_bank,stock_energy,stock_oil,stock_steel,stock_automotive,stock_telecom,stock_tech,corona_deaths,corona_confirmed,corona_recovered,corona_active,new_confirmed,corona_new_recovered,Date
315,1.1453993,,,,,-1.1600087,-1.0776122,-1.1172501,-1.065656,-0.12435132,-0.13318197,0.508482,1.7199738,0.37737364,1.035193,1.2256835,0.28787905,-0.07717858,0.0,0.0,0.0,0.0,0.0,0.0,2017-11-12
316,1.0574592,,,,,-1.1691698,-1.0736881,-1.1223632,-1.0538499,0.07583442,-0.21833147,0.47761652,1.6524419,0.28330326,1.0377651,1.2194308,0.22601695,-0.092980474,0.0,0.0,0.0,0.0,0.0,0.0,2017-11-13
317,0.9251076,,,,,-1.1778524,-1.0695387,-1.1266981,-1.0414699,0.21479157,-0.19864929,0.57438374,1.5872765,0.23979093,1.0227106,1.3117809,0.18656485,-0.08245253,0.0,0.0,0.0,0.0,0.0,0.0,2017-11-14
318,0.7666635,,,,,-1.1859498,-1.0651405,-1.1301718,-1.028507,0.17781584,-0.45143327,0.38949093,1.3849806,-0.08777034,0.9197573,0.929602,-0.027177118,-0.13881882,0.0,0.0,0.0,0.0,0.0,0.0,2017-11-15
319,0.74311244,,,,,-1.1933556,-1.0604696,-1.1327016,-1.0149523,-0.026246391,-0.33933616,0.46543872,1.2053391,-0.1320231,0.9563011,1.0404558,0.10754311,-0.033514112,0.0,0.0,0.0,0.0,0.0,0.0,2017-11-16
320,0.8434675,,,,,-1.1999632,-1.0555028,-1.1342046,-1.0007969,-0.22623335,-0.36142832,0.54995024,1.1411759,-0.3094188,0.9409955,1.0511043,0.22810826,0.08012423,0.0,0.0,0.0,0.0,0.0,0.0,2017-11-17
321,0.9337084,,,,,-1.205666,-1.0502163,-1.1345981,-0.986032,-0.2972029,-0.38439217,0.5602734,1.0952066,-0.28628194,0.94283944,1.0566957,0.30411556,0.06907245,0.0,0.0,0.0,0.0,0.0,0.0,2017-11-18
322,0.986858,,,,,-1.2103575,-1.0445867,-1.1337993,-0.97064877,-0.19999251,-0.40735602,0.5705966,1.0492374,-0.26314512,0.9446833,1.0622872,0.38012284,0.058020663,0.0,0.0,0.0,0.0,0.0,0.0,2017-11-19
323,0.9390939,,,,,-1.2139312,-1.0385903,-1.1317253,-0.95463824,0.0072504305,-0.4303199,0.58091974,1.0032681,-0.2400083,0.94652724,1.0678786,0.45613015,0.046968877,0.0,0.0,0.0,0.0,0.0,0.0,2017-11-20
324,0.8129787,,,,,-1.2162806,-1.0322037,-1.1282934,-0.93799156,0.19282481,-0.27047586,0.83034617,0.98829406,-0.011725965,1.0430962,1.337506,0.4996377,0.12649235,0.0,0.0,0.0,0.0,0.0,0.0,2017-11-21
