,in,,out
1562322599999,3.37678213E10,1562322599999,3.37678213E10
1562326199999,3.43003443E10,1562326199999,3.43003443E10
1562329799999,3.42925107E10,1562329799999,3.42925107E10
1562333399999,3.30662769E10,1562333399999,3.30662769E10
1562336999999,3.18537851E10,1562336999999,3.18537851E10
1562340599999,3.17575926E10,1562340599999,3.17575926E10
1562344199999,3.27641866E10,1562344199999,3.27641866E10
1562347799999,3.5034702E10,1562347799999,3.5034702E10
1562351399999,3.6428472E10,1562351399999,3.6428472E10
1562354999999,3.4872517E10,1562354999999,3.4872517E10
1562358599999,3.12828068E10,1562358599999,3.12828068E10
1562362199999,2.71071232E10,1562362199999,2.71071232E10
1562365799999,2.11434271E10,1562365799999,2.11434271E10
1562369399999,1.84398868E10,1562369399999,1.84398868E10
1562372999999,1.60067041E10,1562372999999,1.60067041E10
1562376599999,1.40057231E10,1562376599999,1.40057231E10
1562380199999,1.35899402E10,1562380199999,1.35899402E10
1562383799999,1.4689879E10,1562383799999,1.4689879E10
1562387399999,1.61935503E10,1562387399999,1.61935503E10
1562390999999,1.90084772E10,1562390999999,1.90084772E10
1562394599999,2.21914296E10,1562394599999,2.21914296E10
1562398199999,2.47356293E10,1562398199999,2.47356293E10
1562401799999,2.65344983E10,1562401799999,2.65344983E10
1562405399999,2.67205366E10,1562405399999,2.67205366E10
1562408999999,2.74227692E10,1562408999999,2.74227692E10
1562412599999,2.83483771E10,1562412599999,2.83483771E10
1562416199999,2.87110595E10,1562416199999,2.87110595E10
1562419799999,2.93916324E10,1562419799999,2.93916324E10
1562423399999,2.96565494E10,1562423399999,2.96565494E10
1562426999999,3.04636867E10,1562426999999,3.04636867E10
1562430599999,3.23347579E10,1562430599999,3.23347579E10
1562434199999,3.30147717E10,1562434199999,3.30147717E10
1562437799999,3.5517923E10,1562437799999,3.5517923E10
1562441399999,3.4735763E10,1562441399999,3.4735763E10
1562444999999,3.09586309E10,1562444999999,3.09586309E10
1562448599999,2.62989967E10,1562448599999,2.62989967E10
1562452199999,2.08996618E10,1562452199999,2.08996618E10
1562455799999,1.81825393E10,1562455799999,1.81825393E10
1562459399999,1.60524739E10,1562459399999,1.60524739E10
1562462999999,1.46267668E10,1562462999999,1.46267668E10
1562466599999,1.35490918E10,1562466599999,1.35490918E10
