,data,_cacheHit
91,"{'updated_at': '2020-03-26T22:53:24.000Z', 'date': '2020-03-26', 'deaths': 23958, 'confirmed': 528724, 'recovered': 121536, 'new_confirmed': 61842, 'new_recovered': 8409, 'new_deaths': 2790, 'active': 383230}",True
92,"{'updated_at': '2020-03-25T22:37:49.000Z', 'date': '2020-03-25', 'deaths': 21171, 'confirmed': 466882, 'recovered': 113183, 'new_confirmed': 48918, 'new_recovered': 5478, 'new_deaths': 2556, 'active': 332528}",True
93,"{'updated_at': '2020-03-24T22:41:50.000Z', 'date': '2020-03-24', 'deaths': 18615, 'confirmed': 417964, 'recovered': 107705, 'new_confirmed': 40404, 'new_recovered': 7367, 'new_deaths': 2126, 'active': 291644}",True
94,"{'updated_at': '2020-03-23T22:23:20.000Z', 'date': '2020-03-23', 'deaths': 16489, 'confirmed': 377575, 'recovered': 100391, 'new_confirmed': 42501, 'new_recovered': 3035, 'new_deaths': 1867, 'active': 260695}",True
95,"{'updated_at': '2020-03-22T22:43:03.000Z', 'date': '2020-03-22', 'deaths': 14621, 'confirmed': 334762, 'recovered': 97494, 'new_confirmed': 31430, 'new_recovered': 6215, 'new_deaths': 1662, 'active': 222649}",True
96,"{'updated_at': '2020-03-21T22:43:02.000Z', 'date': '2020-03-21', 'deaths': 12961, 'confirmed': 303509, 'recovered': 91346, 'new_confirmed': 32361, 'new_recovered': 4275, 'new_deaths': 1677, 'active': 199202}",True
97,"{'updated_at': '2020-03-20T22:13:09.000Z', 'date': '2020-03-20', 'deaths': 11289, 'confirmed': 271122, 'recovered': 87058, 'new_confirmed': 29458, 'new_recovered': 2471, 'new_deaths': 1433, 'active': 172775}",True
98,"{'updated_at': '2020-03-19T20:13:15.000Z', 'date': '2020-03-19', 'deaths': 9847, 'confirmed': 241390, 'recovered': 84623, 'new_confirmed': 27799, 'new_recovered': 1661, 'new_deaths': 1136, 'active': 146920}",True
99,"{'updated_at': '2020-03-18T18:53:03.000Z', 'date': '2020-03-18', 'deaths': 8719, 'confirmed': 213506, 'recovered': 82971, 'new_confirmed': 17735, 'new_recovered': 2473, 'new_deaths': 828, 'active': 121816}",True
100,"{'updated_at': '2020-03-17T22:33:02.000Z', 'date': '2020-03-17', 'deaths': 7890, 'confirmed': 195637, 'recovered': 80480, 'new_confirmed': 15629, 'new_recovered': 2757, 'new_deaths': 779, 'active': 107267}",True
